date,deaths_new_dod,deaths_bid,deaths_bid_dod
44345,98,75,9
44346,79,109,8
44347,67,96,8
44348,71,93,5
44349,126,86,10
44350,103,110,9
44351,86,83,7
44352,109,90,9
44353,87,79,6
44354,82,82,6
44355,76,73,5
44356,75,93,11
44357,73,68,6
44358,84,65,16
44359,76,80,5
44360,64,73,6
44361,60,90,3
44362,101,78,9
44363,73,80,9
44364,60,82,2
44365,74,79,6
44366,72,67,11
44367,60,74,7
44368,69,81,5
44369,77,88,11
44370,83,83,10
44371,84,80,11
44372,82,78,17
44373,81,86,10
44374,60,72,9
44375,57,91,4
44376,107,91,14
44377,62,109,7
44378,84,96,9
44379,73,107,13
44380,107,116,14
44381,63,112,7
44382,77,96,13
44383,103,109,12
44384,91,152,10
44385,135,155,20
44386,77,178,8
44387,87,148,8
44388,90,181,10
44389,103,169,14
44390,125,190,16
44391,118,171,13
44392,110,207,15
44393,115,204,24
44394,138,252,18
44395,153,231,24
44396,129,210,13
44397,93,266,10
44398,199,260,33
44399,134,255,22
44400,144,279,8
44401,184,294,32
44402,92,296,8
44403,207,257,14
44404,207,259,31
44405,143,300,14
44406,174,277,28
44407,134,317,9
44408,165,297,12
44409,160,309,20
44410,219,358,21
44411,195,325,34
44412,257,302,21
44413,164,301,22
44414,160,338,24
44415,210,321,34
44416,360,302,85
44417,212,294,16
44418,201,387,34
44419,211,265,16
44420,318,282,93
44421,277,229,96
44422,260,241,68
44423,282,265,101
44424,274,251,77
44425,293,240,44
44426,225,256,35
44427,178,241,35
44428,233,219,60
44429,223,237,35
44430,232,281,43
44431,174,261,21
44432,211,177,40
44433,265,227,69
44434,393,263,100
44435,339,226,99
44436,252,227,31
44437,285,234,51
44438,295,262,53
44439,282,243,98
44440,278,255,65
44441,249,218,80
44442,330,203,93
44443,362,213,104
44444,336,234,107
44445,272,218,81
44446,311,207,93
44447,362,222,102
44448,322,193,55
44449,341,198,102
44450,592,185,88
44451,292,198,106
44452,413,158,176
44453,463,162,108
44454,422,183,92
44455,346,153,105
44456,388,151,64
44457,324,116,70
44458,376,68,75
44459,301,34,92
44460,334,4,84
